,case:concept:name,concept:name,Specific operation,time:timestamp,Report,Question,Year,Category
0,A1 P2 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for all traces,2021-10-19 12:47:13.651481,A1,P2,2020,Academic
1,A1 P2 BPI 2020,Compare cycle time, ,2021-10-19 12:47:13.659459,A1,P2,2020,Academic
2,A2 P2 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-10-19 12:47:13.666495,A2,P2,2020,Student
3,A2 P2 BPI 2020,Compare cycle time, ,2021-10-19 12:47:13.666495,A2,P2,2020,Student
4,A7 P2 BPI 2020,Calculate throughput, ,2021-10-19 12:47:13.682150,A7,P2,2020,Academic
5,A7 P2 BPI 2020,Comparative of throughput, ,2021-10-19 12:47:13.682150,A7,P2,2020,Academic
6,A7 P2 BPI 2020,Comparative of throughput, ,2021-10-19 12:47:13.682150,A7,P2,2020,Academic
7,A7 P2 BPI 2020,Represent scatterplot, ,2021-10-19 12:47:13.697738,A7,P2,2020,Academic
8,A10 P2 BPI 2020,Represent boxplots of cycle time, ,2021-10-19 12:47:13.697738,A10,P2,2020,Academic
9,A10 P2 BPI 2020,Compare cycle time, ,2021-10-19 12:47:13.713394,A10,P2,2020,Academic
10,A12 P2 BPI 2020,Calculate throughput, ,2021-10-19 12:47:13.713394,A12,P2,2020,Professional
11,A12 P2 BPI 2020,Preprocess the traces of the logs, ,2021-10-19 12:47:13.729014,A12,P2,2020,Professional
12,A12 P2 BPI 2020,Calculate throughput, ,2021-10-19 12:47:13.734553,A12,P2,2020,Professional
13,A13 P2 BPI 2020,Calculate cycle time,Calculate cycle time of only a subset of pairs of events for all traces,2021-10-19 12:47:13.734553,A13,P2,2020,Professional
14,A13 P2 BPI 2020,Compare cycle time, ,2021-10-19 12:47:13.750210,A13,P2,2020,Professional
15,A13 P2 BPI 2020,Identify specific subprocesses, ,2021-10-19 12:47:13.750210,A13,P2,2020,Professional
16,A18 P2 BPI 2020,Calculate statistics,Calculate Statistics of cycle time,2021-10-19 12:47:13.769592,A18,P2,2020,Academic
17,A25 P2 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-10-19 12:47:13.781559,A25,P2,2020,Student
