,case:id,case:concept:name,Operation,concept:name,time:timestamp,Question,Report,Year,Category,Type
0,A1 P2 BPI 2020,A1 P2 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for all traces,2021-11-17 14:54:39.260528,P2,A1,2020,Academic,Analyze Cycle Time
1,A1 P2 BPI 2020,A1 P2 BPI 2020,Compare cycle time,Compare cycle time,2021-11-17 15:54:39.260528,P2,A1,2020,Academic,Analyze Cycle Time
2,A2 P2 BPI 2020,A2 P2 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-11-17 16:54:39.260528,P2,A2,2020,Student,Analyze Cycle Time
3,A2 P2 BPI 2020,A2 P2 BPI 2020,Compare cycle time,Compare cycle time,2021-11-17 17:54:39.260528,P2,A2,2020,Student,Analyze Cycle Time
4,A7 P2 BPI 2020,A7 P2 BPI 2020,Calculate throughput,Calculate throughput,2021-11-17 18:54:39.260528,P2,A7,2020,Academic,Analyze Cycle Time
5,A7 P2 BPI 2020,A7 P2 BPI 2020,Comparative of throughput,Comparative of throughput,2021-11-17 19:54:39.260528,P2,A7,2020,Academic,Analyze Cycle Time
6,A7 P2 BPI 2020,A7 P2 BPI 2020,Comparative of throughput,Comparative of throughput,2021-11-17 20:54:39.260528,P2,A7,2020,Academic,Analyze Cycle Time
7,A7 P2 BPI 2020,A7 P2 BPI 2020,Represent scatterplot,Represent scatterplot,2021-11-17 21:54:39.260528,P2,A7,2020,Academic,Representation
8,A10 P2 BPI 2020,A10 P2 BPI 2020,Represent boxplots of cycle time,Represent boxplots of cycle time,2021-11-17 22:54:39.260528,P2,A10,2020,Academic,Representation
9,A10 P2 BPI 2020,A10 P2 BPI 2020,Compare cycle time,Compare cycle time,2021-11-17 23:54:39.260528,P2,A10,2020,Academic,Analyze Cycle Time
10,A12 P2 BPI 2020,A12 P2 BPI 2020,Calculate throughput,Calculate throughput,2021-11-18 00:54:39.260528,P2,A12,2020,Professional,Analyze Cycle Time
11,A12 P2 BPI 2020,A12 P2 BPI 2020,Preprocess the traces of the logs,Preprocess the traces of the logs,2021-11-18 01:54:39.260528,P2,A12,2020,Professional,Manipulation
12,A12 P2 BPI 2020,A12 P2 BPI 2020,Calculate throughput,Calculate throughput,2021-11-18 02:54:39.260528,P2,A12,2020,Professional,Analyze Cycle Time
13,A13 P2 BPI 2020,A13 P2 BPI 2020,Calculate cycle time,Calculate cycle time of only a subset of pairs of events for all traces,2021-11-18 03:54:39.260528,P2,A13,2020,Professional,Analyze Cycle Time
14,A13 P2 BPI 2020,A13 P2 BPI 2020,Compare cycle time,Compare cycle time,2021-11-18 04:54:39.260528,P2,A13,2020,Professional,Analyze Cycle Time
15,A13 P2 BPI 2020,A13 P2 BPI 2020,Identify specific subprocesses,Identify specific subprocesses,2021-11-18 05:54:39.260528,P2,A13,2020,Professional,Identification
16,A18 P2 BPI 2020,A18 P2 BPI 2020,Calculate statistics,Calculate Statistics of cycle time,2021-11-18 06:54:39.260528,P2,A18,2020,Academic,Calculate statistics
17,A25 P2 BPI 2020,A25 P2 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-11-18 07:54:39.260528,P2,A25,2020,Student,Analyze Cycle Time
18,A25 P2 BPI 2020,A25 P2 BPI 2020,Compare cycle time,Compare cycle time,2021-11-18 08:54:39.260528,P2,A25,2020,Student,Analyze Cycle Time
19,A25 P2 BPI 2020,A25 P2 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for all traces,2021-11-18 09:54:39.260528,P2,A25,2020,Student,Analyze Cycle Time
20,A26 P2 BPI 2020,A26 P2 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-11-18 10:54:39.260528,P2,A26,2020,Professional,Analyze Cycle Time
21,A26 P2 BPI 2020,A26 P2 BPI 2020,Compare cycle time,Compare cycle time,2021-11-18 11:54:39.260528,P2,A26,2020,Professional,Analyze Cycle Time
22,A28 P2 BPI 2020,A28 P2 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-11-18 12:54:39.260528,P2,A28,2020,Professional,Analyze Cycle Time
23,A28 P2 BPI 2020,A28 P2 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-11-18 13:54:39.260528,P2,A28,2020,Professional,Representation
24,A28 P2 BPI 2020,A28 P2 BPI 2020,Compare cycle time,Compare cycle time,2021-11-18 14:54:39.260528,P2,A28,2020,Professional,Analyze Cycle Time
25,A35 P2 BPI 2020,A35 P2 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for all traces,2021-11-18 15:54:39.260528,P2,A35,2020,Professional,Analyze Cycle Time
26,A35 P2 BPI 2020,A35 P2 BPI 2020,Calculate number of elements,Calculate number of traces,2021-11-18 16:54:39.260528,P2,A35,2020,Professional,Calculate statistics
27,A35 P2 BPI 2020,A35 P2 BPI 2020,Calculate number of elements,Calculate number of activities,2021-11-18 17:54:39.260528,P2,A35,2020,Professional,Calculate statistics
28,A35 P2 BPI 2020,A35 P2 BPI 2020,Calculate average of activities per trace,Calculate average of activities per trace,2021-11-18 18:54:39.260528,P2,A35,2020,Professional,Calculate statistics
29,A35 P2 BPI 2020,A35 P2 BPI 2020,Calculate percentages,Calculate percentage of traces,2021-11-18 19:54:39.260528,P2,A35,2020,Professional,Calculate statistics
30,A35 P2 BPI 2020,A35 P2 BPI 2020,Calculate statistics,Calculate Statistics of attributes,2021-11-18 20:54:39.260528,P2,A35,2020,Professional,Calculate statistics
31,A35 P2 BPI 2020,A35 P2 BPI 2020,Group traces,Group traces depending on attributes,2021-11-18 21:54:39.260528,P2,A35,2020,Professional,Manipulation
32,A35 P2 BPI 2020,A35 P2 BPI 2020,Represent histograms,Represent histograms of attributes,2021-11-18 22:54:39.260528,P2,A35,2020,Professional,Representation
33,A35 P2 BPI 2020,A35 P2 BPI 2020,Represent bar charts,Represent bar charts of traces,2021-11-18 23:54:39.260528,P2,A35,2020,Professional,Representation
34,A35 P2 BPI 2020,A35 P2 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-11-19 00:54:39.260528,P2,A35,2020,Professional,Representation
35,A35 P2 BPI 2020,A35 P2 BPI 2020,Filter traces,Filter traces by activities,2021-11-19 01:54:39.260528,P2,A35,2020,Professional,Manipulation
36,A35 P2 BPI 2020,A35 P2 BPI 2020,Compare cycle time,Compare cycle time,2021-11-19 02:54:39.260528,P2,A35,2020,Professional,Analyze Cycle Time
37,A37 P2 BPI 2020,A37 P2 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-11-19 03:54:39.260528,P2,A37,2020,Professional,Analyze Cycle Time
38,A37 P2 BPI 2020,A37 P2 BPI 2020,Compare cycle time,Compare cycle time,2021-11-19 04:54:39.260528,P2,A37,2020,Professional,Analyze Cycle Time
39,A2 P4 BPI 2020,A2 P4 BPI 2020,Filter activities,Filter activities by sub-processes,2021-11-19 05:54:39.260528,P4,A2,2020,Student,Manipulation
40,A2 P4 BPI 2020,A2 P4 BPI 2020,Group activities,Group activities by sub-processes,2021-11-19 06:54:39.260528,P4,A2,2020,Student,Manipulation
41,A2 P4 BPI 2020,A2 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for each subset of traces,2021-11-19 07:54:39.260528,P4,A2,2020,Student,Analyze Cycle Time
42,A7 P4 BPI 2020,A7 P4 BPI 2020,Group activities,Group activities by role,2021-11-19 08:54:39.260528,P4,A7,2020,Academic,Manipulation
43,A7 P4 BPI 2020,A7 P4 BPI 2020,Calculate throughput,Calculate throughput,2021-11-19 09:54:39.260528,P4,A7,2020,Academic,Analyze Cycle Time
44,A7 P4 BPI 2020,A7 P4 BPI 2020,Group activities,Group activities by time,2021-11-19 10:54:39.260528,P4,A7,2020,Academic,Manipulation
45,A7 P4 BPI 2020,A7 P4 BPI 2020,Calculate number of elements,Calculate number of activities,2021-11-19 11:54:39.260528,P4,A7,2020,Academic,Calculate statistics
46,A7 P4 BPI 2020,A7 P4 BPI 2020,Represent scatterplot,Represent scatterplot,2021-11-19 12:54:39.260528,P4,A7,2020,Academic,Representation
47,A10 P4 BPI 2020,A10 P4 BPI 2020,Represent process map,Represent process map with cycle time,2021-11-19 13:54:39.260528,P4,A10,2020,Academic,Representation
48,A10 P4 BPI 2020,A10 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-19 14:54:39.260528,P4,A10,2020,Academic,Analyze Cycle Time
49,A12 P4 BPI 2020,A12 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-19 15:54:39.260528,P4,A12,2020,Professional,Analyze Cycle Time
50,A13 P4 BPI 2020,A13 P4 BPI 2020,Represent process map,Represent process map with cycle time,2021-11-19 16:54:39.260528,P4,A13,2020,Professional,Representation
51,A13 P4 BPI 2020,A13 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-19 17:54:39.260528,P4,A13,2020,Professional,Analyze Cycle Time
52,A13 P4 BPI 2020,A13 P4 BPI 2020,Group activities,Group activities by sub-processes,2021-11-19 18:54:39.260528,P4,A13,2020,Professional,Manipulation
53,A13 P4 BPI 2020,A13 P4 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for each subset of traces,2021-11-19 19:54:39.260528,P4,A13,2020,Professional,Analyze Cycle Time
54,A18 P4 BPI 2020,A18 P4 BPI 2020,Represent process map,Represent process map with frequency,2021-11-19 20:54:39.260528,P4,A18,2020,Academic,Representation
55,A18 P4 BPI 2020,A18 P4 BPI 2020,Calculate cycle time,Calculate cycle time of only a subset of pairs of events for a subset of traces,2021-11-19 21:54:39.260528,P4,A18,2020,Academic,Analyze Cycle Time
56,A25 P4 BPI 2020,A25 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-19 22:54:39.260528,P4,A25,2020,Student,Analyze Cycle Time
57,A25 P4 BPI 2020,A25 P4 BPI 2020,Represent bar charts,Represent bar charts of cycle time,2021-11-19 23:54:39.260528,P4,A25,2020,Student,Representation
58,A25 P4 BPI 2020,A25 P4 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-20 00:54:39.260528,P4,A25,2020,Student,Analyze Cycle Time
59,A26 P4 BPI 2020,A26 P4 BPI 2020,Filter variants depending on frequency,Filter variants depending on frequency,2021-11-20 01:54:39.260528,P4,A26,2020,Professional,Manipulation
60,A26 P4 BPI 2020,A26 P4 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-11-20 02:54:39.260528,P4,A26,2020,Professional,Representation
61,A28 P4 BPI 2020,A28 P4 BPI 2020,Preprocess the traces of the logs,Preprocess the traces of the logs,2021-11-20 03:54:39.260528,P4,A28,2020,Professional,Manipulation
62,A28 P4 BPI 2020,A28 P4 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-11-20 04:54:39.260528,P4,A28,2020,Professional,Analyze Cycle Time
63,A28 P4 BPI 2020,A28 P4 BPI 2020,Represent heatmaps,Represent heatmaps,2021-11-20 05:54:39.260528,P4,A28,2020,Professional,Representation
64,A28 P4 BPI 2020,A28 P4 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-20 06:54:39.260528,P4,A28,2020,Professional,Analyze Cycle Time
65,A28 P4 BPI 2020,A28 P4 BPI 2020,Preprocess the traces of the logs,Preprocess the traces of the logs,2021-11-20 07:54:39.260528,P4,A28,2020,Professional,Manipulation
66,A28 P4 BPI 2020,A28 P4 BPI 2020,Represent heatmaps,Represent heatmaps,2021-11-20 08:54:39.260528,P4,A28,2020,Professional,Representation
67,A28 P4 BPI 2020,A28 P4 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-11-20 09:54:39.260528,P4,A28,2020,Professional,Analyze Cycle Time
68,A28 P4 BPI 2020,A28 P4 BPI 2020,Represent heatmaps,Represent heatmaps,2021-11-20 10:54:39.260528,P4,A28,2020,Professional,Representation
69,A28 P4 BPI 2020,A28 P4 BPI 2020,Preprocess the traces of the logs,Preprocess the traces of the logs,2021-11-20 11:54:39.260528,P4,A28,2020,Professional,Manipulation
70,A28 P4 BPI 2020,A28 P4 BPI 2020,Represent heatmaps,Represent heatmaps,2021-11-20 12:54:39.260528,P4,A28,2020,Professional,Representation
71,A35 P4 BPI 2020,A35 P4 BPI 2020,Filter traces,Filter traces by activities,2021-11-20 13:54:39.260528,P4,A35,2020,Professional,Manipulation
72,A35 P4 BPI 2020,A35 P4 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-11-20 14:54:39.260528,P4,A35,2020,Professional,Analyze Cycle Time
73,A35 P4 BPI 2020,A35 P4 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for a subset of traces,2021-11-20 15:54:39.260528,P4,A35,2020,Professional,Analyze Cycle Time
74,A35 P4 BPI 2020,A35 P4 BPI 2020,Calculate number of elements,Calculate number of traces,2021-11-20 16:54:39.260528,P4,A35,2020,Professional,Calculate statistics
75,A35 P4 BPI 2020,A35 P4 BPI 2020,Calculate number of elements,Calculate number of activities,2021-11-20 17:54:39.260528,P4,A35,2020,Professional,Calculate statistics
76,A35 P4 BPI 2020,A35 P4 BPI 2020,Calculate average of activities per trace,Calculate average of activities per trace,2021-11-20 18:54:39.260528,P4,A35,2020,Professional,Calculate statistics
77,A35 P4 BPI 2020,A35 P4 BPI 2020,Group traces,Group traces by roles,2021-11-20 19:54:39.260528,P4,A35,2020,Professional,Manipulation
78,A35 P4 BPI 2020,A35 P4 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-11-20 20:54:39.260528,P4,A35,2020,Professional,Representation
79,A37 P4 BPI 2020,A37 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-20 21:54:39.260528,P4,A37,2020,Professional,Analyze Cycle Time
80,A1 P5 BPI 2020,A1 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-11-20 22:54:39.260528,P5,A1,2020,Academic,Analyze Cycle Time
81,A1 P5 BPI 2020,A1 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-20 23:54:39.260528,P5,A1,2020,Academic,Analyze Cycle Time
82,A2 P5 BPI 2020,A2 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-21 00:54:39.260528,P5,A2,2020,Student,Analyze Cycle Time
83,A2 P5 BPI 2020,A2 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-21 01:54:39.260528,P5,A2,2020,Student,Analyze Cycle Time
84,A2 P5 BPI 2020,A2 P5 BPI 2020,Represent process map,Represent process map with cycle time,2021-11-21 02:54:39.260528,P5,A2,2020,Student,Representation
85,A7 P5 BPI 2020,A7 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-21 03:54:39.260528,P5,A7,2020,Academic,Analyze Cycle Time
86,A7 P5 BPI 2020,A7 P5 BPI 2020,Filter activities,Filter activities by cycle time,2021-11-21 04:54:39.260528,P5,A7,2020,Academic,Manipulation
87,A7 P5 BPI 2020,A7 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-21 05:54:39.260528,P5,A7,2020,Academic,Analyze Cycle Time
88,A10 P5 BPI 2020,A10 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-11-21 06:54:39.260528,P5,A10,2020,Academic,Analyze Cycle Time
89,A10 P5 BPI 2020,A10 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-21 07:54:39.260528,P5,A10,2020,Academic,Analyze Cycle Time
90,A10 P5 BPI 2020,A10 P5 BPI 2020,Calculate number of elements,Calculate number of activities,2021-11-21 08:54:39.260528,P5,A10,2020,Academic,Calculate statistics
91,A12 P5 BPI 2020,A12 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-11-21 09:54:39.260528,P5,A12,2020,Professional,Analyze Cycle Time
92,A12 P5 BPI 2020,A12 P5 BPI 2020,Represent bar charts,Represent bar charts of cycle time,2021-11-21 10:54:39.260528,P5,A12,2020,Professional,Representation
93,A12 P5 BPI 2020,A12 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-21 11:54:39.260528,P5,A12,2020,Professional,Analyze Cycle Time
94,A13 P5 BPI 2020,A13 P5 BPI 2020,Represent process map,Represent process map with cycle time,2021-11-21 12:54:39.260528,P5,A13,2020,Professional,Representation
95,A13 P5 BPI 2020,A13 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-21 13:54:39.260528,P5,A13,2020,Professional,Analyze Cycle Time
96,A13 P5 BPI 2020,A13 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-21 14:54:39.260528,P5,A13,2020,Professional,Analyze Cycle Time
97,A18 P5 BPI 2020,A18 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-11-21 15:54:39.260528,P5,A18,2020,Academic,Analyze Cycle Time
98,A18 P5 BPI 2020,A18 P5 BPI 2020,Identify bottlenecks,Identify sub-processes as bottlenecks applying temporal performance criteria,2021-11-21 16:54:39.260528,P5,A18,2020,Academic,Analyze Cycle Time
