,case:concept:name,General activity,Specific activity,Time,Question,Year
0,A1 P2 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for all traces,2021-07-07 17:27:36.471056,P2,2020
1,A1 P2 BPI 2020,Compare cycle time, ,2021-07-07 17:27:36.485076,P2,2020
2,A2 P2 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-07-07 17:27:36.494828,P2,2020
3,A2 P2 BPI 2020,Compare cycle time, ,2021-07-07 17:27:36.506689,P2,2020
4,A7 P2 BPI 2020,Calculate throughput, ,2021-07-07 17:27:36.517632,P2,2020
5,A7 P2 BPI 2020,Comparative of throughput, ,2021-07-07 17:27:36.529239,P2,2020
6,A7 P2 BPI 2020,Comparative of throughput, ,2021-07-07 17:27:36.539028,P2,2020
7,A7 P2 BPI 2020,Represent scatterplot, ,2021-07-07 17:27:36.552364,P2,2020
8,A10 P2 BPI 2020,Represent boxplots of cycle time, ,2021-07-07 17:27:36.563496,P2,2020
9,A10 P2 BPI 2020,Compare cycle time, ,2021-07-07 17:27:36.570301,P2,2020
10,A12 P2 BPI 2020,Calculate throughput, ,2021-07-07 17:27:36.580648,P2,2020
11,A12 P2 BPI 2020,Preprocess the traces of the logs, ,2021-07-07 17:27:36.594027,P2,2020
12,A12 P2 BPI 2020,Calculate throughput, ,2021-07-07 17:27:36.600780,P2,2020
13,A13 P2 BPI 2020,Calculate cycle time,Calculate cycle time of only a subset of pairs of events for all traces,2021-07-07 17:27:36.609869,P2,2020
14,A13 P2 BPI 2020,Compare cycle time, ,2021-07-07 17:27:36.621258,P2,2020
15,A13 P2 BPI 2020,Identify specific subprocesses, ,2021-07-07 17:27:36.633757,P2,2020
16,A18 P2 BPI 2020,Calculate statistics,Calculate Statistics of cycle time,2021-07-07 17:27:36.640266,P2,2020
17,A25 P2 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-07-07 17:27:36.649820,P2,2020
18,A25 P2 BPI 2020,Compare cycle time, ,2021-07-07 17:27:36.662704,P2,2020
19,A25 P2 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for all traces,2021-07-07 17:27:36.670525,P2,2020
20,A26 P2 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-07-07 17:27:36.681528,P2,2020
21,A26 P2 BPI 2020,Compare cycle time, ,2021-07-07 17:27:36.694673,P2,2020
22,A28 P2 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-07-07 17:27:36.704948,P2,2020
23,A28 P2 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-07-07 17:27:36.722638,P2,2020
24,A28 P2 BPI 2020,Compare cycle time, ,2021-07-07 17:27:36.730485,P2,2020
25,A35 P2 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for all traces,2021-07-07 17:27:36.741389,P2,2020
26,A35 P2 BPI 2020,Calculate number of elements,Calculate number of traces,2021-07-07 17:27:36.753884,P2,2020
27,A35 P2 BPI 2020,Calculate number of elements,Calculate number of activities,2021-07-07 17:27:36.765734,P2,2020
28,A35 P2 BPI 2020,Calculate average of activities per trace, ,2021-07-07 17:27:36.777166,P2,2020
29,A35 P2 BPI 2020,Calculate percentages,Calculate percentage of traces,2021-07-07 17:27:36.788582,P2,2020
30,A35 P2 BPI 2020,Calculate statistics,Calculate Statistics of attributes,2021-07-07 17:27:36.797885,P2,2020
31,A35 P2 BPI 2020,Group traces,Group traces depending on attributes,2021-07-07 17:27:36.806801,P2,2020
32,A35 P2 BPI 2020,Represent histograms,Represent histograms of attributes,2021-07-07 17:27:36.824182,P2,2020
33,A35 P2 BPI 2020,Represent bar charts,Represent bar charts of traces,2021-07-07 17:27:36.834704,P2,2020
34,A35 P2 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-07-07 17:27:36.846843,P2,2020
35,A35 P2 BPI 2020,Filter traces,Filter traces by activities,2021-07-07 17:27:36.855106,P2,2020
36,A35 P2 BPI 2020,Compare cycle time, ,2021-07-07 17:27:36.865761,P2,2020
37,A37 P2 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-07-07 17:27:36.875850,P2,2020
38,A37 P2 BPI 2020,Compare cycle time, ,2021-07-07 17:27:36.887204,P2,2020
39,A2 P4 BPI 2020,Filter activities,Filter activities by sub-processes,2021-07-07 17:27:36.899339,P4,2020
40,A2 P4 BPI 2020,Group activities,Group activities by sub-processes,2021-07-07 17:27:36.906160,P4,2020
41,A2 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for each subset of traces,2021-07-07 17:27:36.918107,P4,2020
42,A7 P4 BPI 2020,Group activities,Group activities by rol,2021-07-07 17:27:36.928255,P4,2020
43,A7 P4 BPI 2020,Calculate throughput, ,2021-07-07 17:27:36.941811,P4,2020
44,A7 P4 BPI 2020,Group activities,Group activities by time,2021-07-07 17:27:36.950781,P4,2020
