,case:concept:name,concept:name,Specific operation,time:timestamp,Report,Question,Year,Category,Type
0,A1 P2 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for all traces,2021-10-19 12:47:13.651481,A1,P2,2020,Academic,Analyze Cycle Time
1,A1 P2 BPI 2020,Compare cycle time, ,2021-10-19 12:47:13.659459,A1,P2,2020,Academic,Analyze Cycle Time
2,A2 P2 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-10-19 12:47:13.666495,A2,P2,2020,Student,Analyze Cycle Time
3,A2 P2 BPI 2020,Compare cycle time, ,2021-10-19 12:47:13.666495,A2,P2,2020,Student,Analyze Cycle Time
4,A7 P2 BPI 2020,Calculate throughput, ,2021-10-19 12:47:13.682150,A7,P2,2020,Academic,Analyze Cycle Time
5,A7 P2 BPI 2020,Comparative of throughput, ,2021-10-19 12:47:13.682150,A7,P2,2020,Academic,Analyze Cycle Time
6,A7 P2 BPI 2020,Comparative of throughput, ,2021-10-19 12:47:13.682150,A7,P2,2020,Academic,Analyze Cycle Time
7,A7 P2 BPI 2020,Represent scatterplot, ,2021-10-19 12:47:13.697738,A7,P2,2020,Academic,Representation
8,A10 P2 BPI 2020,Represent boxplots of cycle time, ,2021-10-19 12:47:13.697738,A10,P2,2020,Academic,Representation
9,A10 P2 BPI 2020,Compare cycle time, ,2021-10-19 12:47:13.713394,A10,P2,2020,Academic,Analyze Cycle Time
10,A12 P2 BPI 2020,Calculate throughput, ,2021-10-19 12:47:13.713394,A12,P2,2020,Professional,Analyze Cycle Time
11,A12 P2 BPI 2020,Preprocess the traces of the logs, ,2021-10-19 12:47:13.729014,A12,P2,2020,Professional,Manipulation
12,A12 P2 BPI 2020,Calculate throughput, ,2021-10-19 12:47:13.734553,A12,P2,2020,Professional,Analyze Cycle Time
13,A13 P2 BPI 2020,Calculate cycle time,Calculate cycle time of only a subset of pairs of events for all traces,2021-10-19 12:47:13.734553,A13,P2,2020,Professional,Analyze Cycle Time
14,A13 P2 BPI 2020,Compare cycle time, ,2021-10-19 12:47:13.750210,A13,P2,2020,Professional,Analyze Cycle Time
15,A13 P2 BPI 2020,Identify specific subprocesses, ,2021-10-19 12:47:13.750210,A13,P2,2020,Professional,Identification
16,A18 P2 BPI 2020,Calculate statistics,Calculate Statistics of cycle time,2021-10-19 12:47:13.769592,A18,P2,2020,Academic,Calculate statistics
17,A25 P2 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-10-19 12:47:13.781559,A25,P2,2020,Student,Analyze Cycle Time
18,A25 P2 BPI 2020,Compare cycle time, ,2021-10-19 12:47:13.789538,A25,P2,2020,Student,Analyze Cycle Time
19,A25 P2 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for all traces,2021-10-19 12:47:13.796546,A25,P2,2020,Student,Analyze Cycle Time
20,A26 P2 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-10-19 12:47:13.807509,A26,P2,2020,Professional,Analyze Cycle Time
21,A26 P2 BPI 2020,Compare cycle time, ,2021-10-19 12:47:13.816467,A26,P2,2020,Professional,Analyze Cycle Time
22,A28 P2 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-10-19 12:47:13.827462,A28,P2,2020,Professional,Analyze Cycle Time
23,A28 P2 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-10-19 12:47:13.836441,A28,P2,2020,Professional,Representation
24,A28 P2 BPI 2020,Compare cycle time, ,2021-10-19 12:47:13.841433,A28,P2,2020,Professional,Analyze Cycle Time
25,A35 P2 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for all traces,2021-10-19 12:47:13.850409,A35,P2,2020,Professional,Analyze Cycle Time
26,A35 P2 BPI 2020,Calculate number of elements,Calculate number of traces,2021-10-19 12:47:13.856392,A35,P2,2020,Professional,Calculate statistics
27,A35 P2 BPI 2020,Calculate number of elements,Calculate number of activities,2021-10-19 12:47:13.862381,A35,P2,2020,Professional,Calculate statistics
28,A35 P2 BPI 2020,Calculate average of activities per trace, ,2021-10-19 12:47:13.866397,A35,P2,2020,Professional,Calculate statistics
29,A35 P2 BPI 2020,Calculate percentages,Calculate percentage of traces,2021-10-19 12:47:13.866397,A35,P2,2020,Professional,Calculate statistics
30,A35 P2 BPI 2020,Calculate statistics,Calculate Statistics of attributes,2021-10-19 12:47:13.866397,A35,P2,2020,Professional,Calculate statistics
31,A35 P2 BPI 2020,Group traces,Group traces depending on attributes,2021-10-19 12:47:13.882019,A35,P2,2020,Professional,Manipulation
32,A35 P2 BPI 2020,Represent histograms,Represent histograms of attributes,2021-10-19 12:47:13.882019,A35,P2,2020,Professional,Representation
33,A35 P2 BPI 2020,Represent bar charts,Represent bar charts of traces,2021-10-19 12:47:13.897675,A35,P2,2020,Professional,Representation
34,A35 P2 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-10-19 12:47:13.897675,A35,P2,2020,Professional,Representation
35,A35 P2 BPI 2020,Filter traces,Filter traces by activities,2021-10-19 12:47:13.897675,A35,P2,2020,Professional,Manipulation
