question,overlap,jaccard,sorensen
P12017-P12017,0.5584863945578229,0.27488464180912237,0.41416394145038016
P12017-P12020,0.37493137605919546,0.1467277269964137,0.2410618159710324
P12017-P22019,0.4268591527520103,0.1978326599488882,0.31160607169582644
P12017-P22020,0.2266786344167297,0.07419553645965259,0.125208443074063
P12017-P42020,0.3886154461784715,0.13692929729138342,0.22141935809286462
P12017-P52020,0.5800030268517663,0.2342090658722425,0.3611516094517195
P12017-P62020,0.594566544566545,0.21939041859048336,0.34142824962152774
P12020-P12020,0.49206349206349187,0.2326467067695137,0.35289817395080536
P12020-P22020,0.339327485380117,0.1520470919593727,0.22634841699599176
P12020-P42020,0.38516143299425015,0.16441262555813654,0.25601699641947345
P12020-P52020,0.3648311956361489,0.16048177828363608,0.2555545821540896
P12020-P62020,0.3661943319838055,0.17644650670966475,0.2705607932328582
P22019-P12020,0.5827380952380954,0.22166961328145568,0.3492170997232511
P22019-P22019,0.5826402553675281,0.29466300311888544,0.4453838897322051
P22019-P22020,0.4063234861845974,0.12281476239809574,0.20065377598487324
P22019-P42020,0.4842903828197946,0.1508925782822841,0.24945513752083576
P22019-P52020,0.5054759782700958,0.17837283840288773,0.2918047074013456
P22019-P62020,0.5072649572649576,0.1591434321920747,0.26052206968496544
P22020-P22020,0.39466230936819174,0.23225587049116472,0.28556001006981385
P22020-P42020,0.2632197323373795,0.10843014102818016,0.16931533319941613
P22020-P52020,0.30380952380952375,0.1302226575167754,0.20304556984621625
P22020-P62020,0.29764011799410023,0.1369001860152303,0.2127438032305288
P42020-P42020,0.3442577030812326,0.14322893201569664,0.21328083681024848
P42020-P52020,0.4191707717569787,0.19735436976816273,0.29158123485709675
P42020-P62020,0.4014367816091953,0.1895425934219036,0.2827710125123918
P52015-P12017,0.4305156630553457,0.2197318187397553,0.34312224138436065
P52015-P12020,0.4441798941798944,0.1818979266347686,0.29248104072665454
P52015-P22019,0.44947089947089947,0.22499308667609316,0.3570411295535991
P52015-P22020,0.45630756417793467,0.15313580452469336,0.24114808671052207
P52015-P42020,0.42451758481170243,0.14840767438806646,0.24212111204614073
P52015-P52015,0.480654761904762,0.2593787385454052,0.39902900748488984
P52015-P52020,0.5970925407199918,0.24923005675600818,0.3812672775354131
P52015-P62020,0.6223646723646722,0.23636373123552593,0.36459267228498005
P52020-P52020,0.6546306022408966,0.3546397944375886,0.4768271696483768
P52020-P62020,0.6343891402714935,0.3448242870754185,0.47145304286885625
P62020-P62020,0.597008547008547,0.3199277574277573,0.4497576497576497
