question,overlap,jaccard,sorensen
P12017-P12017,0.31571268678411535,0.1279033662669824,0.21511077119274466
P12017-P12020,0.15618908382066277,0.05336776279538691,0.09283915279254627
P12017-P22019,0.17462075285954837,0.06347929186704782,0.11196854260306001
P12017-P22020,0.0570830183925422,0.015631050538441126,0.027791791078560148
P12017-P42020,0.1129262816237606,0.036725168972350786,0.06496174606545678
P12017-P52020,0.2162083636873553,0.06951290868338846,0.12057469649436547
P12017-P62020,0.18962148962148961,0.061572908411918446,0.10752515780350713
P12020-P12020,0.22298802561960457,0.09845277033099531,0.16063451175748172
P12020-P22020,0.1349554441659705,0.05283290864431216,0.08583525127710669
P12020-P42020,0.09049830458499189,0.038272976997708374,0.06518626964811632
P12020-P52020,0.06567890314020346,0.02476284750624361,0.04299647699533283
P12020-P62020,0.06531713900134953,0.027895087897469417,0.047494408425582516
P22019-P12020,0.22455096073517128,0.07145161398810417,0.12616456335840134
P22019-P22019,0.24711006586006587,0.10356304130401216,0.18142585771805356
P22019-P22020,0.11937830687830688,0.03133561714679631,0.0557158799654989
P22019-P42020,0.13001672891378774,0.03850530261421997,0.06927401546921236
P22019-P52020,0.12035747116845733,0.03161744035142294,0.05767411886911962
P22019-P62020,0.1096153846153846,0.02502739279873717,0.04585025142468944
P22020-P22020,0.2875816993464052,0.1605113840407958,0.2108353882863687
P22020-P42020,0.049800290486564994,0.01678738448148999,0.028120650121803526
P22020-P52020,0.10057407407407408,0.04394744247048879,0.06997408088422581
P22020-P62020,0.07718780727630285,0.029398485814415017,0.04740281023466865
P42020-P42020,0.14252450980392156,0.05344138092299857,0.08138854729468917
P42020-P52020,0.16477011494252872,0.07954101745331131,0.11578776553624423
P42020-P62020,0.18347701149425286,0.08247767558112386,0.12612516793551276
P52015-P12017,0.16828082264590202,0.06971584740352244,0.12118584514971645
P52015-P12020,0.17703560247419894,0.06162948227891091,0.10746972282493344
P52015-P22019,0.16421757255090588,0.06743208946700145,0.1191753929872231
P52015-P22020,0.23472222222222222,0.06252097071813847,0.10925306316373855
P52015-P42020,0.07467320261437908,0.02812281657133839,0.04942960196708755
P52015-P52015,0.2398639169472503,0.10049668217686569,0.17158493271832886
P52015-P52020,0.15809934437385417,0.05646733838853471,0.09708412867746571
P52015-P62020,0.12535612535612536,0.04680489612616309,0.08002885678324274
P52020-P52020,0.25306372549019607,0.1398249911852853,0.19966544183296103
P52020-P62020,0.22171945701357465,0.12728797597575878,0.18034624566200408
P62020-P62020,0.20940170940170938,0.12016733266733268,0.16951566951566951
